,1984,1988,1992,1996,2000,2004,2008
,   Median income,   Median income,   Median income,   Median income,   Median income,Median income,Median income
Alabama,35690,36443,40534,43253,46266,43614,46459
Alaska,66712,60475,65655,75337,69021,65563,66842
Arizona,44174,48294,46110,45159,51959,52207,49006
Arkansas,32317,36852,37509,38715,38786,41655,41351
California,52137,55331,54819,55400,61144,58609,59556
Colorado,53196,47890,51020,58452,63004,60590,63661
Connecticut,61753,66157,64145,60121,65527,65608,67566
Delaware,53234,55729,56036,56110,65779,57212,52963
District of Columbia,42077,48853,47506,45628,53838,51737,58069
Florida,40793,46414,42955,43737,50748,48265,46857
Georgia,41203,48533,45229,46385,54725,48800,48288
Hawaii,59539,60331,66143,59625,67322,66967,64264
Idaho,43487,42840,43512,49544,49122,52817,49535
Illinois,48972,53937,49554,56459,60162,54864,55629
Indiana,46947,48034,44810,50169,53372,50401,48594
Iowa,40953,44402,45144,47402,53536,51666,52378
Kansas,50780,46706,47662,46512,53625,48897,50012
Kentucky,36453,36368,36886,46266,47364,42401,42983
Louisiana,39069,37446,39955,43196,40119,43376,41327
Maine,42572,48233,46517,49525,48671,49210,49334
Maryland,61252,66776,58432,62796,71225,67993,66552
Massachusetts,55584,60676,57106,56374,61062,61939,63010
Michigan,47349,53842,50679,55990,59441,50314,52008
Minnesota,50382,53138,48659,58510,70855,66803,57374
Mississippi,31814,33187,32308,38079,44796,41383,38071
Missouri,42834,42828,42974,48910,58899,50172,48091
Montana,40279,40613,41661,40943,42808,40431,44813
Nebraska,44116,45962,47194,48552,54528,52136,52990
Nevada,53145,51122,50115,55012,59762,56206,57185
New Hampshire,53429,63256,61939,56249,66512,67650,69127
New Jersey,57268,66292,61254,67756,65831,65816,68218
New Mexico,42535,35251,40616,35808,45833,47106,43979
New York,45415,52824,48769,50544,53214,53164,52711
North Carolina,42409,44603,43618,50817,50044,47911,44844
North Dakota,42826,44013,42342,44920,47013,46699,51844
Ohio,47675,50678,49324,48631,56111,51266,49027
Oklahoma,43603,43237,39711,39164,42358,47168,48167
Oregon,44120,50692,50145,50661,55506,48812,54034
Pennsylvania,41949,48854,46933,49815,55084,52517,53694
Rhode Island ,44560,54518,47797,52794,55111,57076,55615
South Carolina,41873,46646,43314,49481,49068,46069,44035
South Dakota,40017,40728,41243,42145,47638,48946,53901
Tennessee,34601,38101,38194,43950,44531,45332,41472
Texas,47471,45604,43903,47207,50425,49291,48563
Utah ,47539,48071,53795,52868,62103,60572,65326
Vermont,46551,52958,51445,46188,51712,56355,52967
Virginia,54689,59644,59994,55970,61597,60894,64749
Washington,51580,59058,53244,52351,55540,59442,59156
West Virginia,34727,35356,31838,36038,38412,39737,39688
Wisconsin,42768,54030,52314,57097,58887,54453,53483
Wyoming,49104,48264,47447,44182,51757,54054,55715
Footnotes:,,,,,,,
Footnotes:,,,,,,,
